Aspect,Curvature,Earthquake,Elevation,Lithology,NDVI,NDWI,Plan,Precipitation,Profile,Slope,temperature,moisture,Landslide
2.333333333,2.666666667,1.333333333,2.0,1,3.333333333,2.666666667,2.333333333,2.333333333,3.333333333,3.0,17.72799333,17.99496667,0
2.0,3.666666667,1.666666667,1.666666667,2,3.666666667,2.333333333,3.333333333,2.666666667,2.666666667,2.0,18.67084333,24.95333333,0
3.666666667,2.666666667,2.0,2.333333333,3,2.666666667,3.666666667,2.666666667,3.333333333,3.666666667,3.0,19.13294667,72.11763333,0
3.666666667,2.0,1.666666667,2.333333333,3,3.333333333,2.666666667,2.0,3.666666667,4.0,2.666666667,23.91838333,32.43703333,0
3.0,4.0,2.333333333,2.666666667,3,3.666666667,2.0,4.0,4.0,2.666666667,3.333333333,23.77259,5.116766667,0
3.0,2.666666667,2.333333333,3.333333333,3,3.666666667,2.666666667,3.0,3.666666667,3.666666667,2.666666667,17.97158667,11.45966667,0
4.0,2.333333333,2.666666667,2.666666667,4,2.333333333,3.666666667,2.333333333,4.666666667,4.0,1.0,21.25973,47.2294,0
3.666666667,4.0,1.666666667,3.0,1,4.666666667,1.333333333,4.0,2.333333333,3.0,3.0,21.5248,28.74036667,0
4.666666667,3.333333333,2.333333333,3.0,1,1.666666667,4.333333333,3.333333333,4.666666667,3.0,2.666666667,24.56713667,12.09466667,0
4.0,3.0,2.0,2.666666667,3,2.666666667,3.333333333,3.333333333,3.0,2.666666667,3.333333333,22.11108333,33.34053333,0
4.0,3.333333333,2.666666667,2.666666667,3,3.0,2.666666667,3.666666667,4.666666667,3.333333333,2.666666667,21.60929667,33.88086667,0
1.666666667,3.666666667,2.666666667,2.666666667,4,2.0,3.666666667,3.0,4.333333333,3.0,3.333333333,21.36318333,38.10746667,0
3.666666667,4.0,1.0,1.666666667,2,4.333333333,2.0,4.0,1.0,2.666666667,4.0,25.00151667,28.19716667,0
3.333333333,3.0,2.333333333,1.666666667,2,4.333333333,2.0,3.333333333,4.0,3.666666667,1.666666667,21.28550333,38.02816667,0
4.0,2.666666667,1.666666667,3.0,3,2.666666667,3.0,3.0,3.0,4.0,2.333333333,17.34314333,1.953433333,0
3.0,4.0,1.666666667,3.0,3,3.666666667,1.666666667,4.333333333,2.666666667,2.666666667,3.666666667,19.79693667,52.5389,0
2.666666667,2.333333333,2.666666667,3.0,3,3.0,3.333333333,2.666666667,5.0,4.0,2.666666667,26.59451,35.3295,0
2.0,4.0,2.333333333,3.333333333,2,3.666666667,2.333333333,3.333333333,3.666666667,2.333333333,1.666666667,20.62302333,2.6005,0
2.333333333,3.0,1.333333333,1.333333333,1,4.0,2.0,3.333333333,2.666666667,3.333333333,2.333333333,21.91913667,22.64523333,0
3.666666667,3.666666667,1.333333333,2.333333333,1,2.666666667,3.0,4.333333333,2.0,3.0,3.0,19.65313,41.14866667,0
2.666666667,2.666666667,2.333333333,2.666666667,1,2.666666667,3.0,2.666666667,4.333333333,3.666666667,3.0,20.54305333,44.2166,0
3.666666667,3.333333333,1.333333333,1.333333333,2,3.666666667,2.333333333,3.333333333,1.333333333,2.666666667,2.333333333,23.95075,45.45203333,0
4.666666667,3.333333333,2.0,3.0,3,2.666666667,3.666666667,3.666666667,3.666666667,3.0,2.666666667,15.77783333,3.704266667,0
2.666666667,2.333333333,2.0,3.0,1,4.333333333,2.333333333,2.333333333,3.666666667,4.0,3.666666667,21.62494667,26.39716667,0
3.0,1.666666667,2.333333333,2.0,2,2.0,3.666666667,1.666666667,4.0,4.333333333,2.333333333,20.39823,47.90036667,0
2.666666667,2.666666667,2.333333333,2.0,3,3.666666667,2.333333333,2.333333333,3.666666667,3.666666667,3.333333333,20.36785333,20.1026,0
3.333333333,3.333333333,2.0,2.0,2,3.666666667,2.333333333,3.0,3.666666667,2.666666667,2.0,21.49253667,29.51383333,0
2.666666667,4.0,2.333333333,2.333333333,4,3.0,2.333333333,3.666666667,4.0,2.666666667,3.666666667,19.83795,24.57763333,0
3.666666667,3.333333333,1.333333333,2.666666667,1,3.333333333,2.333333333,3.333333333,2.666666667,3.333333333,3.0,22.70201333,33.56113333,1
3.333333333,3.666666667,2.333333333,2.333333333,2,2.333333333,4.0,3.666666667,4.0,2.333333333,2.0,22.50938,22.94696667,0
4.666666667,3.333333333,2.0,2.333333333,2,1.333333333,4.666666667,3.666666667,4.0,3.0,3.0,22.04718,52.33806667,0
2.0,3.0,1.666666667,1.333333333,2,2.666666667,3.333333333,2.666666667,4.0,3.333333333,1.333333333,25.01172,26.24346667,0
3.666666667,3.333333333,2.666666667,2.333333333,3,2.333333333,3.333333333,2.666666667,4.333333333,3.333333333,2.666666667,20.50040333,47.35066667,1
2.666666667,4.333333333,2.0,2.0,2,4.0,2.0,4.333333333,3.0,3.333333333,2.666666667,19.87266333,44.78853333,0
3.0,3.666666667,1.666666667,2.333333333,1,2.333333333,3.333333333,3.666666667,2.666666667,2.666666667,2.333333333,21.32945,26.88333333,0
3.333333333,3.666666667,2.333333333,2.333333333,1,2.0,4.0,3.666666667,4.333333333,2.666666667,3.0,20.91986333,26.81203333,0
1.666666667,4.666666667,2.0,3.0,1,2.666666667,3.333333333,5.0,3.666666667,2.0,2.666666667,20.61880667,34.0026,0
3.0,2.666666667,2.0,1.666666667,2,3.333333333,2.666666667,3.0,3.0,3.333333333,2.0,22.84184333,18.42976667,0
4.0,3.0,1.666666667,2.666666667,2,2.666666667,3.0,2.666666667,2.666666667,2.666666667,1.666666667,23.43273667,38.4377,0
4.0,4.0,1.666666667,2.666666667,2,3.333333333,2.666666667,4.0,2.666666667,2.666666667,3.0,17.81290667,66.62356667,0
1.666666667,2.666666667,2.333333333,2.0,3,2.666666667,3.666666667,2.666666667,3.666666667,3.666666667,2.0,23.58560333,26.41703333,0
3.666666667,4.333333333,2.0,3.333333333,3,3.333333333,2.666666667,4.333333333,3.666666667,2.666666667,2.666666667,22.14145667,56.7495,0
2.666666667,3.0,2.333333333,1.666666667,2,3.666666667,2.0,2.666666667,4.666666667,3.0,3.0,18.55597667,23.21086667,0
1.666666667,2.666666667,1.666666667,2.333333333,1,2.666666667,3.0,3.0,3.333333333,3.666666667,3.333333333,21.1653,66.7796,0
2.0,3.333333333,2.0,3.333333333,2,4.0,2.0,3.333333333,4.0,3.333333333,2.666666667,23.14008667,81.75233333,0
3.0,3.0,2.333333333,2.0,1,3.333333333,2.666666667,3.0,4.0,3.333333333,3.0,23.3175,36.8436,0
2.666666667,2.0,1.666666667,1.333333333,1,4.0,2.0,2.333333333,3.0,4.0,2.666666667,19.34338667,73.15136667,1
3.0,3.0,2.333333333,3.0,2,2.333333333,3.0,3.0,4.666666667,3.0,2.0,23.97229667,8.0103,0
2.333333333,3.333333333,1.666666667,2.0,2,4.333333333,1.666666667,3.333333333,3.666666667,3.0,2.333333333,23.15503333,0.0096,0
2.666666667,3.666666667,2.666666667,3.0,1,3.0,2.666666667,3.666666667,5.0,2.666666667,2.333333333,19.62472,2.3881,0
2.0,3.0,2.333333333,3.333333333,2,3.0,2.666666667,3.0,4.0,2.666666667,3.666666667,23.80549,22.84756667,0
3.0,2.666666667,2.0,2.333333333,2,1.666666667,4.333333333,3.0,3.333333333,3.666666667,3.0,19.07809333,35.04143333,0
3.0,3.666666667,2.333333333,2.666666667,4,2.666666667,3.0,4.0,4.666666667,2.666666667,2.333333333,23.31164,37.669,0
3.666666667,3.333333333,2.333333333,3.0,1,2.666666667,3.333333333,3.666666667,3.333333333,2.666666667,1.333333333,22.32751333,40.5956,0
4.0,2.0,2.333333333,2.666666667,2,3.333333333,3.0,2.0,3.0,3.333333333,1.333333333,20.20670333,24.6746,0
2.666666667,2.666666667,2.666666667,2.0,2,2.666666667,3.0,3.0,4.333333333,3.666666667,3.333333333,19.09384,61.3355,0
3.333333333,4.333333333,2.0,1.666666667,2,3.666666667,2.333333333,4.0,3.666666667,2.0,2.333333333,21.66524,23.15746667,0
3.0,2.333333333,2.0,3.0,1,4.0,2.0,2.333333333,3.666666667,4.0,3.0,23.77713667,24.46503333,0
3.333333333,3.333333333,1.0,2.0,1,3.666666667,2.0,3.333333333,1.666666667,3.0,3.333333333,21.34953,8.7351,0
4.0,2.333333333,1.666666667,2.666666667,2,2.666666667,3.333333333,2.0,3.333333333,3.666666667,2.0,24.37542667,34.4088,0
2.666666667,3.0,2.333333333,3.333333333,2,3.0,3.0,3.0,4.0,3.0,2.333333333,20.20503667,15.38043333,0
3.333333333,2.666666667,2.333333333,1.666666667,2,3.666666667,2.333333333,2.666666667,4.333333333,3.666666667,1.333333333,21.79732333,95.706,0
1.666666667,4.0,2.0,3.0,3,3.666666667,2.333333333,3.666666667,3.0,2.0,3.333333333,23.38093333,49.57083333,0
2.333333333,3.333333333,1.666666667,2.333333333,3,4.666666667,1.333333333,4.0,2.666666667,3.333333333,2.666666667,23.45192333,24.93853333,0
2.666666667,2.666666667,2.0,2.666666667,3,3.333333333,2.666666667,2.333333333,3.666666667,3.0,2.666666667,18.97525,9.2343,0
3.333333333,3.0,2.333333333,3.0,1,2.333333333,3.666666667,2.666666667,4.333333333,3.666666667,3.333333333,23.14853,30.22103333,0
3.666666667,3.333333333,2.333333333,2.666666667,4,2.666666667,3.333333333,2.666666667,4.333333333,3.0,3.666666667,19.44933,6.440433333,0
3.333333333,3.0,3.0,4.0,5,1.666666667,4.333333333,3.0,5.0,3.333333333,2.333333333,21.68480333,31.1654,0
3.0,3.0,2.333333333,3.0,1,3.0,3.333333333,3.333333333,4.333333333,3.0,2.666666667,20.62332333,42.5447,0
3.666666667,3.333333333,2.333333333,3.0,2,1.666666667,4.0,3.333333333,3.666666667,3.333333333,3.0,22.21526667,63.16013333,0
3.0,2.333333333,1.666666667,1.333333333,2,4.0,2.0,3.0,2.666666667,4.0,2.666666667,22.04070333,43.88273333,0
3.666666667,4.666666667,2.333333333,2.666666667,1,4.0,1.333333333,4.333333333,3.333333333,2.0,4.0,23.34576333,47.22543333,0
3.0,3.666666667,2.0,3.333333333,1,2.666666667,3.333333333,3.666666667,4.0,3.333333333,2.333333333,24.49277,21.3058,0
4.0,4.0,2.333333333,4.0,3,1.333333333,4.333333333,4.0,4.0,2.666666667,3.0,22.52148,8.0023,0
3.333333333,3.333333333,2.333333333,2.666666667,1,3.333333333,2.666666667,3.333333333,4.666666667,2.666666667,4.333333333,17.54254,17.81796667,0
1.666666667,3.0,2.333333333,2.0,3,2.333333333,3.0,3.0,4.0,3.0,2.0,20.02985333,24.08133333,0
1.666666667,3.666666667,2.333333333,3.333333333,3,2.0,3.333333333,3.333333333,4.666666667,2.666666667,2.666666667,21.25105333,27.7623,0
4.333333333,3.333333333,2.0,2.666666667,3,2.666666667,3.333333333,3.333333333,4.0,3.333333333,2.666666667,20.11725333,25.96876667,0
4.0,3.0,2.333333333,4.0,4,3.0,3.0,3.0,4.666666667,3.333333333,2.333333333,21.18200667,20.24496667,0
1.666666667,2.0,2.0,2.333333333,2,3.333333333,2.333333333,2.333333333,4.0,3.666666667,2.666666667,16.52380333,19.48836667,0
2.666666667,2.0,2.0,3.333333333,2,4.0,2.0,2.0,3.666666667,3.666666667,4.333333333,17.91897333,86.32356667,1
1.666666667,2.0,2.666666667,2.666666667,3,2.666666667,3.333333333,2.0,4.666666667,3.666666667,2.0,21.5653,23.83976667,0
3.333333333,4.0,2.0,1.333333333,1,3.333333333,2.666666667,4.0,4.0,2.666666667,3.0,19.80114,49.33333333,0
2.666666667,3.666666667,1.333333333,2.333333333,2,3.333333333,3.0,3.666666667,2.666666667,2.333333333,3.0,23.38015333,15.71603333,0
3.0,3.333333333,2.333333333,4.333333333,4,2.0,4.333333333,3.333333333,4.333333333,3.0,3.333333333,22.34192,28.02636667,0
2.0,2.0,2.0,2.666666667,3,2.0,4.0,2.333333333,3.0,4.666666667,2.666666667,24.53259667,48.7226,0
2.333333333,2.333333333,1.666666667,2.666666667,3,3.333333333,2.666666667,2.666666667,3.0,3.666666667,3.0,25.21845333,28.3357,0
3.666666667,3.0,1.666666667,3.666666667,2,2.0,4.0,2.0,2.333333333,3.0,3.0,19.58749667,13.52673333,0
4.0,3.333333333,2.0,2.333333333,3,2.333333333,3.666666667,3.666666667,3.333333333,3.333333333,2.333333333,21.22558333,57.60723333,0
4.333333333,4.666666667,1.333333333,1.666666667,2,4.0,2.333333333,4.333333333,2.0,2.0,3.0,25.42423667,31.70976667,0
3.333333333,3.0,1.666666667,4.0,2,1.666666667,4.0,3.333333333,3.0,3.0,3.333333333,21.29806333,34.72046667,0
4.0,2.666666667,2.333333333,2.666666667,4,1.0,4.666666667,3.0,4.333333333,3.333333333,2.333333333,23.10604667,76.99713333,0
3.333333333,2.666666667,2.666666667,3.333333333,1,3.666666667,2.333333333,3.0,4.666666667,3.333333333,2.666666667,21.13720667,11.48473333,0
3.333333333,2.666666667,2.0,2.666666667,3,4.0,1.333333333,2.666666667,3.666666667,3.666666667,3.666666667,20.50713667,26.7794,0
2.666666667,3.0,1.666666667,1.666666667,2,2.666666667,2.666666667,3.666666667,3.0,3.333333333,3.666666667,22.60594333,48.06853333,0
3.333333333,3.666666667,2.333333333,2.666666667,3,2.333333333,3.666666667,3.666666667,3.666666667,2.666666667,2.333333333,23.67739333,37.8764,0
3.0,4.0,1.666666667,3.666666667,3,3.0,3.0,4.0,3.333333333,2.0,3.0,17.07164,53.5192,0
2.333333333,3.0,2.333333333,2.333333333,2,3.0,3.0,3.0,4.666666667,3.666666667,2.666666667,21.40658667,56.69266667,0
3.333333333,2.333333333,2.0,1.333333333,1,3.0,3.0,2.333333333,3.666666667,3.666666667,3.333333333,20.36457,30.2497,0
2.333333333,3.666666667,2.0,3.0,3,2.0,4.0,4.0,3.666666667,2.666666667,2.0,20.59583333,34.3844,0
3.333333333,2.333333333,2.666666667,3.0,1,4.0,2.333333333,2.666666667,4.333333333,4.0,3.0,23.22758667,18.59616667,0
3.333333333,3.0,2.0,1.333333333,4,4.333333333,1.666666667,3.0,4.0,3.0,2.0,19.71997,19.1762,0
1.666666667,2.333333333,1.0,2.333333333,3,3.0,3.333333333,2.666666667,1.666666667,3.666666667,3.0,22.55141333,2.669,0
1.666666667,3.333333333,1.666666667,2.0,2,3.333333333,2.333333333,3.333333333,3.333333333,2.666666667,2.666666667,24.14612333,32.33333333,0
2.333333333,3.0,2.666666667,1.666666667,2,2.0,4.0,3.0,4.666666667,3.0,2.333333333,22.79738333,11.74616667,0
4.666666667,3.0,1.666666667,2.666666667,2,3.0,3.333333333,3.333333333,3.666666667,3.333333333,1.666666667,25.54579333,26.31856667,0
1.666666667,2.666666667,2.0,3.0,1,2.666666667,3.666666667,2.666666667,3.0,3.666666667,2.333333333,20.24178333,51.07513333,0
1.333333333,2.333333333,1.666666667,2.666666667,1,2.333333333,3.666666667,2.666666667,3.666666667,4.0,2.0,18.53919333,35.67986667,0
3.666666667,3.666666667,1.666666667,3.333333333,2,2.666666667,3.333333333,2.666666667,2.666666667,2.333333333,2.333333333,20.86942667,45.18173333,0
3.333333333,3.0,2.666666667,3.0,1,3.333333333,2.666666667,3.333333333,4.0,3.0,3.0,24.78064667,22.07986667,1
4.0,3.666666667,2.666666667,3.666666667,3,3.0,3.666666667,3.0,5.0,2.0,3.0,20.55605,2.0219,0
2.666666667,3.0,2.666666667,3.333333333,2,3.666666667,2.0,3.333333333,4.333333333,3.666666667,3.0,21.59415667,47.87646667,0
2.666666667,3.666666667,2.333333333,2.666666667,1,1.666666667,4.0,3.0,4.333333333,2.333333333,3.0,23.95849333,24.4273,0
4.0,2.333333333,2.0,3.0,2,1.0,4.666666667,2.0,3.333333333,3.0,3.0,24.41290667,60.2781,0
1.333333333,3.666666667,1.666666667,3.333333333,1,2.0,3.666666667,4.0,3.333333333,2.666666667,2.0,23.78157333,46.42913333,0
4.333333333,3.0,2.333333333,2.333333333,1,3.333333333,3.0,3.333333333,5.0,3.0,2.666666667,22.03154,3.990566667,0
3.0,4.333333333,2.333333333,3.333333333,4,2.666666667,3.333333333,4.0,4.333333333,2.0,2.333333333,16.02255333,37.3507,0
3.333333333,3.666666667,2.0,2.0,2,3.666666667,2.333333333,3.666666667,3.333333333,3.0,2.333333333,21.78791,14.68286667,0
4.666666667,4.666666667,1.666666667,3.666666667,2,2.333333333,3.666666667,4.333333333,3.666666667,1.333333333,3.333333333,25.78396,21.4108,0
2.666666667,3.333333333,2.666666667,2.666666667,1,1.666666667,4.333333333,3.666666667,4.333333333,2.666666667,2.666666667,19.15591333,24.3652,0
1.666666667,3.0,1.333333333,1.666666667,3,4.0,2.333333333,3.0,2.0,3.0,2.0,17.83253,27.04903333,0
2.666666667,3.0,2.0,1.333333333,2,3.666666667,2.333333333,3.333333333,3.0,3.333333333,2.0,18.46949333,35.93716667,1
2.666666667,4.0,1.666666667,3.666666667,1,2.666666667,3.0,3.666666667,3.0,2.0,2.0,20.92728333,63.95933333,0
3.333333333,2.333333333,1.666666667,1.333333333,1,4.0,2.0,2.666666667,3.666666667,3.666666667,3.0,19.52701333,10.51463333,0
2.666666667,2.0,1.666666667,1.0,2,2.666666667,3.333333333,2.0,2.333333333,4.666666667,2.0,23.21346667,11.3767,0
2.0,4.333333333,2.666666667,3.333333333,2,3.0,2.666666667,4.333333333,4.333333333,2.333333333,3.666666667,24.79350667,34.11973333,0
3.333333333,3.0,1.666666667,3.666666667,2,3.0,2.666666667,3.0,3.333333333,3.333333333,3.0,22.01917,12.0344,0
2.666666667,3.333333333,2.333333333,3.0,2,2.666666667,3.333333333,3.333333333,4.333333333,3.333333333,3.666666667,22.82753667,55.9947,0
2.666666667,3.333333333,1.666666667,2.333333333,2,2.333333333,3.666666667,3.333333333,3.666666667,3.0,2.0,24.10589,29.61606667,0
2.333333333,2.666666667,2.0,1.666666667,1,3.333333333,2.333333333,3.0,3.666666667,3.666666667,2.333333333,18.16023667,20.96826667,0
2.666666667,4.0,2.333333333,2.666666667,2,2.666666667,3.0,4.333333333,3.666666667,2.666666667,3.0,17.00125,35.98076667,1
2.333333333,3.0,2.0,2.333333333,3,3.666666667,2.333333333,3.333333333,4.0,3.666666667,2.666666667,20.45990667,21.1605,0
2.0,2.333333333,2.333333333,2.0,4,3.666666667,2.333333333,2.333333333,4.0,4.0,3.0,22.00953,33.73533333,0
3.666666667,3.0,2.0,2.0,1,3.666666667,2.0,3.0,3.666666667,3.333333333,2.666666667,18.81553667,26.77966667,0
2.666666667,3.0,2.666666667,3.666666667,4,2.333333333,4.0,3.0,4.666666667,3.0,2.0,24.98751667,59.4709,0
3.333333333,2.666666667,2.333333333,2.333333333,2,3.333333333,2.0,2.666666667,4.0,3.333333333,2.666666667,17.00284667,31.3868,0
2.333333333,3.666666667,2.0,2.333333333,2,2.666666667,3.333333333,3.666666667,3.666666667,2.666666667,3.0,24.72457,19.79293333,0
2.666666667,2.666666667,2.333333333,2.0,3,2.666666667,3.333333333,2.666666667,4.333333333,4.0,3.333333333,22.37480333,30.74773333,0
3.0,3.0,2.333333333,3.0,2,3.666666667,2.333333333,3.0,4.0,3.0,2.333333333,22.54179667,6.683733333,0
3.0,2.666666667,2.0,2.666666667,2,3.0,2.666666667,3.0,3.333333333,3.666666667,3.666666667,19.01531,22.52826667,0
3.333333333,4.0,2.333333333,2.666666667,1,3.666666667,2.666666667,4.0,4.333333333,2.666666667,2.666666667,18.17068333,17.1137,0
4.666666667,3.333333333,2.333333333,2.666666667,1,2.666666667,3.333333333,3.0,4.333333333,2.666666667,3.0,19.07519667,25.8202,0
3.0,3.666666667,1.333333333,3.666666667,1,3.333333333,2.666666667,4.0,2.333333333,2.666666667,3.0,15.86204,26.11923333,0
